CODE,TYPE,HEADING,LABELS,STOCKS,COST,DETAILS
 B6035917,bracelets,"Love bracelet, 4 diamonds","yellow gold, diamonds",10,10100.00 INR,"Love bracelet, 18K yellow gold, set with 4 brilliant-cut diamonds totaling 0.42 carats. Sold with a screwdriver. Width: 6.1mm."
 HP600115,bracelets,Etincelle de Cartier bracelet,"platinum, diamonds",10,103000.00 INR,"Ã‰tincelle de Cartier bracelet, 950â€° platinum, set with 370 brilliant-cut diamonds totaling 18.41 carats."
 N6706117,bracelets,PanthÃ¨re de Cartier bracelet,"yellow gold, tsavorite garnets, onyx",10,10400.00 INR,"PanthÃ¨re de Cartier bracelet, 18K yellow gold, tsavorite garnets, onyx."
 N6711617,bracelets,PanthÃ¨re de Cartier bracelet,"pink gold, tsavorite garnets, onyx",10,10400.00 INR,"PanthÃ¨re de Cartier bracelet, 18K pink gold. Tsavorite garnets and onyx."
 N6717517,bracelets,PanthÃ¨re de Cartier bracelet,"white gold, emeralds, onyx, diamonds",10,105000.00 INR,"PanthÃ¨re de Cartier bracelet, 18K white gold, onyx, set with 2 emeralds and 647 brilliant-cut diamonds totaling 7.56 carats."
 B6065617,bracelets,Maillon PanthÃ¨re bracelet,yellow gold,10,10600.00 INR,"Maillon PanthÃ¨re bracelet, 18K yellow gold."
 B6035817,bracelets,"Love bracelet, 4 diamonds","white gold, diamonds",10,10800.00 INR,"Love bracelet, 18K white gold, set with 4 brilliant-cut diamonds totaling 0.42 carats. Sold with a screwdriver. Width: 6.1mm."
 H6024217,bracelets,Pluie de Cartier bracelet,"white gold, diamonds",10,114000.00 INR,"Pluie de Cartier bracelet, 18K white gold, set with 300 diamonds totaling 16.27 carats."
 B6040300,bracelets,"Diamants LÃ©gers bracelet, SM","pink gold, diamond",10,1180.00 INR,"Diamants LÃ©gers bracelet, 18K pink gold, set with 1 brilliant-cut diamond of 0.09 carat."
 B6043300,bracelets,"Diamants LÃ©gers bracelet, SM","yellow gold, diamond",10,1180.00 INR,"Diamants LÃ©gers bracelet, 18K yellow gold, set with 1 brilliant-cut diamond of 0.09 carat."
 N6703317,bracelets,C de Cartier bracelet,"pink gold, diamonds",10,11800.00 INR,"C de Cartier Classic Diamonds bracelet, 18K pink gold, set with 55 brilliant-cut diamonds (1.53 carats)."
 B6048517,bracelets,Juste un Clou bracelet,"pink gold, diamonds",10,11800.00 INR,"Juste un Clou bracelet, classic, 18K pink gold, set with 32 brilliant-cut diamonds totaling 0.59 carat. Width: 3.5mm."
 B6048617,bracelets,Juste un Clou bracelet,"yellow gold, diamonds",10,11800.00 INR,"Juste un Clou bracelet, classic, 18K yellow gold, set with 32 brilliant-cut diamonds totaling 0.59 carat. Width: 3.5mm."
 B6040100,bracelets,Love bracelet,"pink gold, ceramic, diamonds",10,1210.00 INR,"Love bracelet, 18K pink gold, brown ceramic, set with 4 brilliant-cut diamonds totaling 0.01 carats. Comes on a pink-toned cord. Width: 2.6 mm. Inner diameter of the two rings: 8 mm."
 B6037200,bracelets,"Diamants LÃ©gers bracelet, SM","white gold, diamond",10,1260.00 INR,"Diamants LÃ©gers bracelet, 18K white gold, set with a brilliant-cut diamond of 0.09 carat."
 N6703417,bracelets,C de Cartier bracelet,"white gold, diamonds",10,12600.00 INR,"C de Cartier bracelet, 18K white gold, set with 55 brilliant-cut diamonds totaling 1.53 carats."
 B6048717,bracelets,Juste un Clou bracelet,"white gold, diamonds",10,12600.00 INR,"Juste un Clou bracelet, classic, 18K white gold, set with 32 brilliant-cut diamonds totaling 0.59 carat. Width: 3.5mm."
 H6001017,bracelets,PanthÃ¨re de Cartier bracelet,"white gold, emeralds, onyx, diamonds",10,126000.00 INR,"Bracelet, 18K white gold, black toile de moire, set with 581 brilliant-cut diamonds (4.13 carats), emeralds and onyx."
 B6026005,bracelets,Love bracelet,"white gold, ceramic, diamonds",10,1300.00 INR,"Love bracelet, 18K white gold, black ceramic, set with 4 brilliant-cut diamonds totaling 0.01 carats. Comes on a black cord. Width: 2.6 mm. Inner diameter of the two rings: 8 mm."
 H6032417,bracelets,Pluie de Cartier bracelet,"white gold, diamonds",10,137000.00 INR,"Pluie de Cartier bracelet, 18K white gold, set with 342 brilliant-cut diamonds totaling 14.10 carats and 9 square-cut diamonds totaling 0.73 carat."
 B6040517,bracelets,"Love bracelet, 10 diamonds","yellow gold, diamonds",10,14600.00 INR,"Love bracelet, 18K yellow gold, set with 10 brilliant-cut diamonds totaling 0.96 carats. Sold with a screwdriver. Width: 6.1mm."
 B6040617,bracelets,"Love bracelet, 10 diamonds","pink gold, diamonds",10,14600.00 INR,"Love bracelet, 18K rose gold, set with 10 brilliant-cut diamonds totaling 0.96 carats. Sold with a screwdriver. Width: 6.1mm."
 H6012717,bracelets,Reflection de Cartier bracelet,"white gold, diamonds",10,148000.00 INR,"Reflection de Cartier bracelet, 18K white gold, set with 104 brilliant-cut diamonds totaling 4.49 carats and 52 baguette-cut diamonds totaling 5.85 carats."
 HP601186,bracelets,PanthÃ¨re de Cartier bracelet,"white gold, emeralds, onyx, diamonds",10,149000.00 INR,"Bracelet, white gold, 861 brilliant-cut diamonds totaling 8.31 carats, emeralds, onyx."
 N6713117,bracelets,Pluie de Cartier bracelet,"white gold, diamonds",10,153000.00 INR,"Pluie de Cartier bracelet, 18K white gold, set with 280 brilliant-cut diamonds totaling 16.20 carats."
 B6040717,bracelets,"Love bracelet, 10 diamonds","white gold, diamonds",10,15600.00 INR,"Love bracelet, 18K white gold, set with 10 brilliant-cut diamonds totaling 0.96 carats. Sold with a screwdriver. Width: 6.1mm."
 H6001517,bracelets,PanthÃ¨re de Cartier bracelet,"white gold, emeralds, onyx, diamonds",10,160000.00 INR,"PanthÃ¨re de Cartier bracelet, 18K white gold, set with 833 brilliant-cut diamonds totaling 9 carats, emeralds and onyx."
 N6712417,bracelets,Essential Lines bracelet,"white gold, sapphires",10,16200.00 INR,"Essential Lines bracelet, 18K white gold, set with 61 brilliant-cut sapphires."
 B6027100,bracelets,Love bracelet,yellow gold,10,1630.00 INR,"Love bracelet, 18K yellow gold. Width: 2.55 mm. Inner diameter: 9.7 mm."
 B6027000,bracelets,Love bracelet,pink gold,10,1630.00 INR,"Love bracelet, 18K pink gold. Width: 2.55 mm. Inner diameter: 9.7 mm."
 B6062917,bracelets,Diamants LÃ©gers bracelet,"yellow gold, diamonds",10,1750.00 INR,"Diamants LÃ©gers bracelet, 18K yellow gold, set with a brilliant-cut diamond of 0.13 carats."
 B6063017,bracelets,Diamants LÃ©gers bracelet,"pink gold, diamonds",10,1750.00 INR,"Diamants LÃ©gers bracelet, 18K pink gold, set with a brilliant-cut diamond of 0.13 carats."
 HP601221,bracelets,Faune et Flore de Cartier bracelet,"platinum, emeralds, diamonds",10,177000.00 INR,"Bracelet - 950â€° platinum, emeralds, brilliant-cut diamonds."
 B6044017,bracelets,"Amulette de Cartier bracelet, XS model","yellow gold, diamond, white mother-of-pearl",10,1780.00 INR,"Amulette de Cartier bracelet, XS model, 18K yellow gold, set with a brilliant-cut diamond of 0.02 carats, white mother-of-pearl. Diameter of motif: 12 mm."
 B6044117,bracelets,"Amulette de Cartier bracelet, XS model","pink gold, diamond, onyx",10,1780.00 INR,"Amulette de Cartier bracelet, XS model, 18K pink gold, set with a brilliant-cut diamond of 0.02 carats, onyx. Diameter of motif: 12 mm."
 B6038000,bracelets,Logo bracelet,"pink gold, diamonds",10,1810.00 INR,"Double C de Cartier bracelet, 18K pink gold, set with 2 brilliant-cut diamonds of 0.04 carat."
 N6036700,bracelets,PanthÃ¨re de Cartier bracelet,"yellow gold, lacquer, diamond, tsavorite garnet, onyx",10,18200.00 INR,"PanthÃ¨re de Cartier bracelet, 18K yellow gold, black lacquer, set with 31 brilliant-cut diamonds totaling 0.26 carat. Tsavorite garnet, onyx."
 B6063117,bracelets,Diamants LÃ©gers bracelet,"white gold, diamonds",10,1870.00 INR,"Diamants LÃ©gers bracelet, 18K white gold, set with a brilliant-cut diamond of 0.13 carats."
 N6714517,bracelets,Ecrou de Cartier bracelet,"pink gold, diamonds",10,18700.00 INR,"Ecrou de Cartier bracelet, 18K pink gold, set with 24 baguette-cut diamonds totaling 1.29 carats."
 B6038300,bracelets,Love bracelet,"yellow gold, diamonds",10,1940.00 INR,"Love bracelet, 18K yellow gold, set with 2 brilliant-cut diamonds totaling 0.03 carats. Width: 7.8 mm."
 N6039117,bracelets,"Love bracelet, 12 diamonds","pink gold, white gold, diamonds",10,19800.00 INR,"Love bracelet, 18K rose gold, 18K white gold, set with 12 brilliant-cut diamonds totaling 0.78 carats. Sold with a screwdriver. Rose gold width 6.1mm."
 N6716817,bracelets,Juste un Clou bracelet,"white gold, ceramic, diamonds",10,19900.00 INR,"Juste un Clou bracelet, 18K white gold, ceramic, set with brilliant-cut 76 diamonds totaling 0.78 carat."
 H6015317,bracelets,Cactus de Cartier bracelet,"yellow gold, emeralds, diamonds",10,200000.00 INR,"Cactus de Cartier bracelet, 18K yellow gold, emeralds, set with 204 brilliant-cut diamonds totaling 5.92 carats."
 B6047117,bracelets,"Amulette de Cartier bracelet, XS model","pink gold, malachite, diamond",10,2050.00 INR,"Amulette de Cartier bracelet, XS model, 18K pink gold, malachite, set with a brilliant-cut diamond of 0.02 carats. Diameter of motif: 12 mm."
 N6707917,bracelets,Essential Lines bracelet,"white gold, diamonds",10,20600.00 INR,"Essential Lines bracelet, 18K white gold, set with 61 brilliant-cut diamonds totaling 3.34 carats."
 B6038100,bracelets,Love bracelet,"white gold, diamonds",10,2080.00 INR,"Love bracelet, 18K white gold, set with 2 brilliant-cut diamonds totaling 0.03 carats. Inner diameter: 7.8 mm."
 N6708417,bracelets,Juste un Clou bracelet,"pink gold, diamonds",10,21200.00 INR,"Juste un Clou bracelet, 18K pink gold, set with 62 brilliant-cut diamonds totaling 0.51 carats."
 N6713817,bracelets,Agrafe bracelet,"pink gold, diamonds",10,21200.00 INR,"Agrafe RÃ©sille bracelet, 18K pink gold, set with 67 brilliant-cut diamonds totaling 1.82 carats."
 H6015217,bracelets,Cactus de Cartier bracelet,"yellow gold, emeralds, chrysoprases, carnelians, diamonds",10,217000.00 INR,"Cactus de Cartier bracelet, 18K yellow gold, chrysoprases, emeralds, carnelians, 8 brilliant-cut diamonds totaling 0.61 carat."
 N6712317,bracelets,Essential Lines bracelet,"white gold, sapphires",10,22300.00 INR,"Essential Lines bracelet, 18K white gold, set with 52 brilliant-cut sapphires."
 N6708517,bracelets,Juste un Clou bracelet,"white gold, diamonds",10,22700.00 INR,"Juste un Clou bracelet, 18K white gold, set with 62 brilliant-cut diamonds totaling 0.51 carats."
 H6007417,bracelets,PanthÃ¨re de Cartier bracelet,"white gold, emeralds, onyx, diamonds",10,228000.00 INR,"PanthÃ¨re de Cartier bracelet, 18K white gold, 704 brilliant-cut diamonds totaling 16.02 carats, emeralds, onyx."
 H6013017,bracelets,PanthÃ¨re de Cartier bracelet,"pink gold, emeralds, obsidians, diamonds",10,234000.00 INR,"PanthÃ¨re de Cartier bracelet, 18K pink gold, set with emeralds, obsidians and 739 brilliant-cut diamonds totaling 11.56 carats."
 H6013117,bracelets,PanthÃ¨re de Cartier bracelet,"yellow gold, emeralds, onyx, diamonds",10,234000.00 INR,"PanthÃ¨re de Cartier bracelet, 18K yellow gold, set with emeralds, onyx and 739 brilliant-cut diamonds totaling 11.56 carats."
 B6040400,bracelets,Symbols bracelet,"white gold, diamonds",10,2360.00 INR,"Hearts and Symbols bracelet, 18K white gold, set with 11 brilliant-cut diamonds totaling 0.13 carat."
 N6700517,bracelets,PanthÃ¨re de Cartier bracelet,"yellow gold, lacquer, diamonds, tsavorite garnets, onyx",10,24400.00 INR,"PanthÃ¨re de Cartier bracelet, 18K yellow gold, black lacquer, set with 3 brilliant-cut diamonds totaling 0.16 carat. Tsavorite garnets, onyx."
 HP601087,bracelets,Agrafe cuff bracelet,"pink gold, diamonds",10,247000.00 INR,"Agrafe cuff bracelet - 18K pink gold, 1,302 brilliant-cut diamonds totaling 30.28 carats."
 N6710617,bracelets,"Love bracelet, small model, pavÃ©","yellow gold, diamonds",10,24900.00 INR,"Bracelet Love bracelet, small model, 18K yellow gold, set with 177 brilliant-cut diamonds totaling 0.95 carats. Sold with a screwdriver. Width: 3.65mm."
 H6007517,bracelets,PanthÃ¨re de Cartier bracelet,"platinum, emeralds, onyx, diamonds",10,251000.00 INR,"Bracelet - 950â€° platinum, 744 brilliant-cut diamonds totaling 12.73 carats, emeralds, onyx."
 N6715017,bracelets,Clash de Cartier bracelet Diamonds,"pink gold, diamonds",10,25500.00 INR,"Clash de Cartier bracelet, 18K pink gold, set with 51 brilliant-cut diamonds totaling 1.51 carats. Width: 6.8 mm."
 H6019817,bracelets,Reflection de Cartier bracelet,"white gold, diamonds",10,263000.00 INR,"Large model Reflection de Cartier bracelet, 18K white gold, set with 166 baguette-cut diamonds totaling 12.96 carats, 30 princess-cut diamonds totaling 4.23 carats and 2 troidia-cut diamonds totaling 0.81 carats."
 N6710817,bracelets,"Love bracelet, small model, pavÃ©","white gold, diamonds",10,26700.00 INR,"Bracelet Love bracelet, small model, 18K white gold, set with 177 brilliant-cut diamonds totaling 0.95 carats. Sold with a screwdriver. Width: 3.65mm."
 N6711717,bracelets,Trinity bracelet,"white gold, yellow gold, pink gold, diamonds",10,27800.00 INR,"Trinity bracelet, small model, 18K white gold, 18K yellow gold, 18K pink gold, set with 324 diamonds totaling 1.74 carats."
 N6712017,bracelets,PanthÃ¨re de Cartier bracelet,"yellow gold, tsavorite garnets, onyx",10,29600.00 INR,"PanthÃ¨re de Cartier bracelet, 18K yellow gold, onyx, black lacquer, set with 2 tsavorite garnets."
 N6712117,bracelets,PanthÃ¨re de Cartier bracelet,"pink gold, tsavorite garnets, onyx",10,29600.00 INR,"PanthÃ¨re de Cartier bracelet, 18K pink gold, onyx, black lacquer, set with 2 tsavorite garnets."
 B6058718,bracelets,Trinity bracelet,"white gold, yellow gold, pink gold, diamond",10,2980.00 INR,"Trinity bracelet, 18K white gold, 18K yellow gold, 18K pink gold, set with a brilliant-cut diamond of 0.18 carats."
 B6062617,bracelets,Juste un Clou bracelet SM,yellow gold,10,3050.00 INR,"Juste un Clou bracelet, small model, 18K yellow gold. Width: 2.5mm."
 HP601197,bracelets,PanthÃ¨re de Cartier bracelet,"platinum, emeralds, onyx, diamonds",10,306000.00 INR,"Bracelet - 950â€° platinum, 981 brilliant-cut diamonds totaling 12.70 carats, emeralds, onyx."
 HP601192,bracelets,Juste un Clou bracelet,"white gold, diamonds",10,312000.00 INR,"Bracelet - 18K white gold, 1,752 brilliant-cut diamonds totaling 27.60 carats."
 B6021300,bracelets,Santos de Cartier bracelet,yellow gold,10,3150.00 INR,"Santos de Cartier bracelet, 18K yellow gold."
 N6039217,bracelets,"Love bracelet, diamond-paved","pink gold, white gold, diamonds",10,32700.00 INR,"Love necklace, 18K pink gold, 18K white gold, set with 144 brilliant-cut diamonds totaling 1.47 carats. Sold with a screwdriver."
 H6004717,bracelets,Juste un Clou bracelet,"white gold, diamonds",10,331000.00 INR,"Juste un Clou cuff bracelet, 18K white gold, set with 2,352 brilliant-cut diamonds totaling 26.73 carats."
 N6713317,bracelets,Etincelle de Cartier bracelet,"white gold, diamonds",10,33500.00 INR,"Ã‰tincelle de Cartier bracelet, 18K white gold, set with 178 brilliant-cut diamonds totaling 2.58 carats."
 N6713917,bracelets,Agrafe bracelet,"pink gold, diamonds",10,33600.00 INR,"Agrafe RÃ©sille bracelet, 18K pink gold, set with 77 brilliant-cut diamonds totaling 2.76 carats."
 N6706217,bracelets,PanthÃ¨re de Cartier bracelet,"white gold, emeralds, onyx, diamonds",10,33900.00 INR,"PanthÃ¨re de Cartier bracelet, 18K white gold, set with 194 brilliant-cut diamonds (1.37 carats), emeralds and onyx."
 N6033402,bracelets,PanthÃ¨re de Cartier bracelet,"yellow gold, lacquer, tsavorite garnets, onyx",10,35000.00 INR,"PanthÃ¨re de Cartier bracelet, 18K yellow gold, black lacquer. Tsavorite garnets, onyx."
 N6710117,bracelets,PanthÃ¨re de Cartier bracelet,"pink gold, black lacquer, onyx, tsavorite garnets",10,35000.00 INR,"PanthÃ¨re de Cartier bracelet, 18K pink gold, black lacquer, tsavorite garnets, onyx."
 N6039317,bracelets,Juste un Clou bracelet,pink gold,10,35900.00 INR,"Juste un Clou bracelet, large model, 18K pink gold."
 N6039717,bracelets,Juste un Clou bracelet,yellow gold,10,35900.00 INR,"Juste un Clou bracelet, large model, 18K yellow gold."
 N6034202,bracelets,PanthÃ¨re de Cartier bracelet,"white gold, lacquer, tsavorite garnets, onyx",10,37400.00 INR,"PanthÃ¨re de Cartier bracelet, 18K white gold, black lacquer. Tsavorite garnets, onyx."
 N6701000,bracelets,"Maillon PanthÃ¨re thin bracelet, 3 diamond-paved rows","white gold, diamonds",10,39700.00 INR,"Maillon PanthÃ¨re bracelet, 18K white gold, set with 336 brilliant-cut diamonds totaling 2.41 carats."
 N6036917,bracelets,"Love bracelet, diamond-paved","pink gold, diamonds",10,40100.00 INR,"Love bracelet, 18K pink gold, set with 204 brilliant-cut diamonds totaling 1.99 carats."
 N6035017,bracelets,"Love bracelet, diamond-paved","yellow gold, diamonds",10,40100.00 INR,"Love bracelet, 18K yellow gold, set with 204 brilliant-cut diamonds totaling 1.99 carats. Width: 6.7mm."
 B6047517,bracelets,"Love bracelet, SM",yellow gold,10,4050.00 INR,"Love bracelet, small model, 18K yellow gold. Sold with a screwdriver. Width: 3.65mm."
 B6047317,bracelets,"Love bracelet, SM",pink gold,10,4050.00 INR,"Love bracelet, small model, 18K rose gold. Sold with a screwdriver. Width: 3.65mm."
 N6717617,bracelets,Love bracelet,"white gold, diamonds",10,43200.00 INR,"Love bracelet, 18K white gold, set with 204 brilliant-cut diamonds totaling 1.99 carats."
 N6032417,bracelets,"Love bracelet, diamond-paved, ceramic","white gold, ceramic, diamonds",10,43300.00 INR,"Love bracelet, 18K white gold, black ceramic, set with 204 brilliant-cut diamonds totaling 1.99 carats."
 B6047417,bracelets,"Love bracelet, SM",white gold,10,4350.00 INR,"Love bracelet, small model, 18K white gold. Sold with a screwdriver. Width: 3.65mm."
 N6709817,bracelets,Juste un Clou bracelet,"yellow gold, diamonds",10,43600.00 INR,"Juste un Clou bracelet, classic, 18K yellow gold, set with 374 brilliant-cut diamonds totaling 2.26 carats."
 N6702117,bracelets,Juste un Clou bracelet,"pink gold, diamonds",10,43600.00 INR,"Juste un Clou bracelet, classic, 18K pink gold, set with 374 brilliant-cut diamonds totaling 2.26 carats."
 B6050717,bracelets,"Amulette de Cartier bracelet, XS model","pink gold, onyx, white mother-of-pearl, diamond",10,4450.00 INR,"Amulette de Cartier bracelet, extra-small model, 18K pink gold, onyx, white mother-of-pearl, set with 2 brilliant-cut diamonds totaling 0.05 carats. Diameter of the motifs: 12 mm."
 B6032417,bracelets,Love bracelet,yellow gold,10,4500.00 INR,"Love bracelet, 18K yellow gold. Width: 6.2mm."
 B6032617,bracelets,Love bracelet,pink gold,10,4500.00 INR,"Love bracelet, 18K rose gold. Width: 6.2mm."
 N6707317,bracelets,Juste un Clou bracelet,"white gold, diamonds",10,46700.00 INR,"Juste un Clou bracelet, classic, 18K white gold, set with 374 brilliant-cut diamonds totaling 2.26 carats."
 B6032517,bracelets,Love bracelet,white gold,10,4800.00 INR,"Love bracelet, 18K white gold. Width: 6.2mm."
 B6030017,bracelets,"Love bracelet, 1 pink sapphire","pink gold, pink sapphire",10,4950.00 INR,"Love bracelet, 18K rose gold, set with 1 rose sapphire. Width: 6.1mm."
 N6715417,bracelets,PanthÃ¨re de Cartier bracelet,"yellow gold, emeralds, onyx, diamonds",10,51000.00 INR,"PanthÃ¨re de Cartier bracelet, 18K yellow gold, onyx, set with 2 emeralds and 225 brilliant-cut diamonds totaling 2.51 carats."
 B6029817,bracelets,"Love bracelet, 1 diamond","yellow gold, diamond",10,5300.00 INR,"Love bracelet, 18K yellow gold, set with 1 brilliant-cut diamond totaling 0.10 carats. Width: 6.1mm."
 N6715617,bracelets,PanthÃ¨re de Cartier bracelet,"white gold, emeralds, onyx, diamonds",10,54500.00 INR,"PanthÃ¨re de Cartier bracelet, 18K white gold, onyx, set with 2 emeralds and 225 brilliant-cut diamonds totaling 2.55 carats."
 N6033602,bracelets,"Love bracelet, diamond-paved","white gold, diamonds",10,56000.00 INR,"Love bracelet, 18K white gold, set with 216 brilliant-cut diamonds totaling 3.15 carats. Width: 6.7 mm."
 N6718417,bracelets,Clash de Cartier bracelet Large Model,"pink gold, amazonite",10,56000.00 INR,"Clash de Cartier bracelet, large model, 18K pink gold, amazonite."
 B6016700,bracelets,Trinity bracelet,"white gold, yellow gold, pink gold",10,580.00 INR,"Trinity bracelet, 18K white gold, 18K rose gold, 18K yellow gold. Comes on a cord. Width: 2 mm. Inner diameter: 10.7mm"
 B6046200,bracelets,Trinity bracelet,"white gold, ceramic",10,580.00 INR,"Trinity bracelet, 18K white gold, black ceramic. Width: 2 mm. Inner diameter 10.7mm."
 H6001317,bracelets,Agrafe bracelet,"pink gold, diamonds",10,58500.00 INR,"Agrafe RÃ©sille bracelet, 18K pink gold, set with 175 brilliant-cut diamonds totaling 3.98 carats."
 B6047217,bracelets,"Love bracelet, small model, 6 diamonds","yellow gold, diamonds",10,6000.00 INR,"Love bracelet, small model, 18K yellow gold, set with 6 diamonds totaling 0.15 carats."
 B6047617,bracelets,"Love bracelet, small model, 6 diamonds","pink gold, diamonds",10,6000.00 INR,"Love bracelet, small model, 18K pink gold, set with 6 diamonds totaling 0.15 carats."
 B6035517,bracelets,Love bracelet,yellow gold,10,6300.00 INR,"Love bracelet, 18K yellow gold. Sold with a screwdriver. Width: 6.1mm."
 B6035617,bracelets,Love bracelet,pink gold,10,6300.00 INR,"Love bracelet, 18K rose gold. Sold with a screwdriver. Width: 6.1mm."
 B6065417,bracelets,Maillon PanthÃ¨re bracelet,yellow gold,10,6350.00 INR,"Maillon PanthÃ¨re bracelet, 18K yellow gold."
 B6047717,bracelets,"Love bracelet, small model, 6 diamonds","white gold, diamonds",10,6400.00 INR,"Love bracelet, small model, 18K white gold, set with 6 diamonds totaling 0.15 carats."
 B6063817,bracelets,Ecrou de Cartier bracelet,yellow gold,10,6600.00 INR,"Ecrou de Cartier bracelet, 18K yellow gold."
 B6049517,bracelets,Ecrou de Cartier bracelet,pink gold,10,6600.00 INR,"Ã‰crou bracelet, 18K rose gold. Width: 3.5mm."
 B6065117,bracelets,Clash de Cartier bracelet Small Model,pink gold,10,6600.00 INR,"Clash de Cartier bracelet, small model, 18K pink gold. Width: 6.4mm"
 B6050217,bracelets,Trinity bracelet,"white gold, pink gold, yellow gold",10,6700.00 INR,"Trinity bracelet, small model, 18K white gold, 18K rose gold, 18K yellow gold. Width: 2.8mm."
 B6035417,bracelets,Love bracelet,white gold,10,6750.00 INR,"Love bracelet, 18K white gold. Sold with a screwdriver. Width: 6.1mm."
 B6048217,bracelets,Juste un Clou bracelet,yellow gold,10,6800.00 INR,"Juste un Clou bracelet, classic, 18K yellow gold. Width: 3.5mm."
 B6048117,bracelets,Juste un Clou bracelet,pink gold,10,6800.00 INR,"Juste un Clou bracelet, classic, 18K rose gold. Width: 3.5mm."
 H6024617,bracelets,Cactus de Cartier bracelet,"yellow gold, chrysoprase, lapis lazuli, diamonds",10,68500.00 INR,"Cactus de Cartier bracelet, 18K yellow gold, set with 16 chrysoprases, 14 lapis lazulis and 36 brilliant-cut diamonds totaling 0.76 carats."
 B6049617,bracelets,Ecrou de Cartier bracelet,white gold,10,7050.00 INR,"Ã‰crou de Cartier bracelet, 18K white gold. Width: 3.5mm."
 B6064417,bracelets,Ecrou de Cartier bracelet,white gold,10,7050.00 INR,"Ecrou de Cartier bracelet, 18K white gold, non-rhodium finish."
 B6049917,bracelets,Etincelle de Cartier bracelet,"yellow gold, diamonds",10,7200.00 INR,"Etincelle de Cartier bracelet, 18K yellow gold, set with 48 brilliant-cut diamonds totaling 0.60 carats."
 B6048317,bracelets,Juste un Clou bracelet,white gold,10,7300.00 INR,"Juste un Clou bracelet, classic, 18K white gold, rhodium-finish. Width: 3.5mm."
 B6045617,bracelets,Diamants LÃ©gers bracelet XS,"yellow gold, diamond",10,760.00 INR,"Diamants LÃ©gers bracelet, 18K yellow gold, set with a brilliant-cut diamond of 0.04 carats."
 B6045717,bracelets,Diamants LÃ©gers bracelet XS,"pink gold, diamond",10,760.00 INR,"Diamants LÃ©gers bracelet, 18K pink gold, set with a brilliant-cut diamond of 0.04 carats."
 B6064617,bracelets,Love bracelet,yellow gold,10,7600.00 INR,"Love bracelet, 18K yellow gold."
 B6049717,bracelets,Etincelle de Cartier bracelet,"white gold, diamonds",10,7700.00 INR,"Etincelle de Cartier bracelet, 18K white gold, set with 48 brilliant-cut diamonds totaling 0.60 carats."
 B6036517,bracelets,Love bracelet,"pink gold, sapphires, garnets, amethysts",10,7750.00 INR,"# LOVE# bracelet, 18K rose gold, set with 2 rose sapphires, 2 yellow sapphires, 2 green garnets, 2 orange garnets and 2 amethysts. Sold with a screwdriver. Width: 6.1mm."
 B6036017,bracelets,"Love bracelet, 4 diamonds","pink gold, diamonds",10,8000 INR,"Love bracelet, 18K rose gold, set with 4 brilliant-cut diamonds totaling 0.42 carats. Sold with a screwdriver. Width: 6.1mm."
 B6029917,bracelets,"Love bracelet, 1 diamond","white gold, diamond",10,8000 INR,"Love bracelet, 18K white gold, set with 1 brilliant-cut diamond totaling 0.10 carats. Width: 6.1mm."
 B6048017,bracelets,"Love bracelet, small model, 10 diamonds","white gold, diamonds",10,8000 INR,"Love bracelet, small model, 18K white gold, set with 10 brilliant-cut diamonds totaling 0.21 carats. Sold with a screwdriver. Width: 3.65mm."
 N6710717,bracelets,"Love bracelet, small model, pavÃ©","pink gold, diamonds",10,8000 INR,"Love bracelet, small model, 18K pink gold, set with 177 brilliant-cut diamonds totaling 0.95 carats. Sold with a screwdriver."
 B6027200,bracelets,Love bracelet,white gold,10,8000 INR,"Love bracelet, 18K white gold. Width: 2.55 mm. Inner diameter: 9.7 mm."
 N6715217,bracelets,PanthÃ¨re de Cartier bracelet,"yellow gold, tsavorite garnets, onyx",10,8000 INR,"PanthÃ¨re de Cartier bracelet, 18K yellow gold, onyx, black lacquer, set with 2 tsavorite garnets."
 B6036818,bracelets,Trinity bracelet,"white gold, yellow gold, pink gold",10,8000 INR,"Trinity bracelet, 18K white gold, 18K rose gold, 18K yellow gold. Width: 1.1mm. Inner diameter 7.3mm."
 N6711417,bracelets,Essential Lines bracelet,"white gold, diamonds, sapphires",10,8000 INR,"Essential Lines bracelet, 18K white gold, set with 26 brilliant-cut diamonds totaling 2.34 carats, and 26 brilliant-cut sapphires."
 B6049817,bracelets,Etincelle de Cartier bracelet,"pink gold, diamonds",10,8000 INR,"Etincelle de Cartier bracelet, 18K pink gold, set with 48 brilliant-cut diamonds totaling 0.60 carats."
 B6062517,bracelets,Juste un Clou bracelet SM,pink gold,10,8000 INR,"Juste un Clou bracelet, small model, 18K rose gold. Width: 2.5mm."
 B6021400,bracelets,Santos de Cartier bracelet,white gold,10,8000 INR,"Santos de Cartier bracelet, 18K white gold."
 B6040200,bracelets,Symbols bracelet,"pink gold, diamonds",10,8000 INR,"Hearts and Symbols bracelet, 18K pink gold, set with 11 brilliant-cut diamonds totaling 0.13 carat."
 HP601053,bracelets,Agrafe cuff bracelet,"yellow gold, diamonds",10,8000 INR,"Agrafe cuff bracelet - 18K yellow gold, 1,302 brilliant-cut diamonds totaling 30.28 carats."
